purchase_month,delivered_orders,active_customers,delivered_gmv_brl,freight_brl,average_order_value_brl,purchase_frequency,freight_to_gmv_ratio,first_order_gmv_brl,repeat_order_gmv_brl,repeat_order_gmv_share,on_time_delivery_rate,average_review_score,gmv_mom_rate,orders_mom_rate
2016-09,1,1,134.97,8.49,134.97,1.0,0.0629028673038453,134.97,0.0,0.0,0.0,1.0,,
2016-10,265,262,40325.11,6165.55,152.17022641509433,1.0114503816793894,0.15289604913662977,39854.16,470.95,0.011678827410514193,0.9886792452830189,4.011450381679389,297.77091205453064,264.0
2016-12,1,1,10.9,8.72,10.9,1.0,0.8,10.9,0.0,0.0,1.0,5.0,-0.9997296969555693,-0.9962264150943396
2017-01,750,718,111798.36,15684.01,149.06448,1.0445682451253482,0.1402883727453605,109478.27,2320.09,0.02075245110930071,0.9693333333333334,4.199055330634278,10255.730275229358,749.0
2017-02,1653,1630,234223.4,37015.92,141.69594676346037,1.0141104294478527,0.1580368144258857,231578.86,2644.54,0.011290673775549325,0.9679370840895342,4.202678027997566,1.0950521993345876,1.204
2017-03,2546,2508,359198.85,55132.1,141.0836017282011,1.0151515151515151,0.15348629317716359,355271.12,3927.73,0.010934695364420014,0.9442262372348782,4.187376335575782,0.5335737163750505,0.5402298850574713
2017-04,2303,2274,340669.68,50142.72,147.9243074250977,1.0127528583992964,0.14718867848761885,334196.86,6472.82,0.019000282032730357,0.921406860616587,4.137554585152839,-0.05158471414927967,-0.09544383346425767
2017-05,3546,3479,489338.25,77513.15,137.99725042301185,1.0192584075883875,0.15840402829739958,476272.14,13066.11,0.02670159138387404,0.9638928067700987,4.238487777146106,0.4364009441638599,0.5397307859313938
2017-06,3135,3076,421923.37,68127.0,134.58480701754385,1.0191807542262679,0.16146770917192854,411829.0,10094.37,0.023924652478956074,0.9614035087719298,4.222918675666988,-0.13776744409414143,-0.11590524534686972
2017-07,3872,3802,481604.52,84694.56,124.3813326446281,1.0184113624408206,0.1758591468369109,467882.0,13722.52,0.028493337230306726,0.965650826446281,4.258415755682805,0.1414502116818038,0.23508771929824562
2017-08,4193,4114,554699.7,91132.66,132.29184354877174,1.0192027224112785,0.16429188622240107,536432.15,18267.55,0.03293232356173981,0.9668495110899118,4.3115246098439375,0.1517742815204474,0.08290289256198347
2017-09,4150,4083,607399.67,93677.82,146.36136626506024,1.0164095028165565,0.15422764388396853,590061.0,17338.67,0.02854573496887148,0.9479518072289157,4.267484215638659,0.09500630701621092,-0.010255187216789887
2017-10,4478,4417,648247.65,102869.36,144.76276239392587,1.0138102784695495,0.15868836547267082,631452.11,16795.54,0.025909141359787422,0.947074586869138,4.205240665766982,0.06725057983650201,0.07903614457831325
2017-11,7289,7183,987765.37,165598.83,135.51452462614898,1.014757065293053,0.16764996529489587,961011.57,26753.8,0.027085177120554447,0.8568880351262349,3.988878143133462,0.5237469352954847,0.6277355962483252
2017-12,5513,5450,726033.1900000001,117045.1,131.694756031199,1.011559633027523,0.16121177600709963,700455.5,25577.69,0.035229367406743484,0.9161980772719027,4.0895440395531955,-0.2649740393308179,-0.2436548223350254
2018-01,7069,6974,924645.0,153242.46,130.80280096194653,1.013622024663034,0.16573112924419642,896613.09,28031.91,0.03031640251123404,0.9343612957985571,4.108726650506203,0.2735574802027989,0.2822419735171413
2018-02,6555,6400,826437.13,139731.28,126.0773653699466,1.02421875,0.16907672093580792,797353.83,29083.3,0.035191182661408256,0.8401220442410374,3.881717125147277,-0.10621143249571456,-0.07271184043004668
2018-03,7003,6914,953356.25,167241.99,136.13540625446237,1.0128724327451548,0.1754244439054131,926565.75,26790.5,0.028101247566164275,0.7863772668856205,3.8132556131260795,0.1535738356770103,0.06834477498093058
2018-04,6798,6744,973534.09,159344.84,143.2088982053545,1.0080071174377223,0.16367669261586926,945946.36,27587.73,0.028337713371701243,0.9468961459252722,4.2062351895734595,0.021165057658141924,-0.02927316864201057
2018-05,6749,6693,977544.6900000001,151229.83,144.84289376203884,1.0083669505453459,0.1547037506796748,944255.38,33289.31,0.03405400319856476,0.9176174248036746,4.236239214519488,0.004119629750202269,-0.007208002353633422
2018-06,6099,6061,856077.86,155900.43,140.36364322020003,1.006269592476489,0.1821101061999197,827275.68,28802.18,0.033644346321489965,0.9863845144356955,4.306995884773663,-0.12425706082041126,-0.09631056452807824
2018-07,6159,6100,867953.46,159853.82,140.9244130540672,1.009672131147541,0.18417326200877177,841553.97,26399.49,0.03041578980513541,0.9551656920077972,4.318085280182976,0.013872102708041038,0.009837678307919331
2018-08,6351,6310,838576.64,146915.0,132.03851991812314,1.0064976228209193,0.17519567442279335,812594.37,25982.27,0.030983775078685712,0.8960793575814833,4.3103475513428124,-0.03384607741525675,0.031173891865562593
